
08/01/2024 11:49:05: ESEGUITO, NESSUN MESSAGGIO
17/01/2024 13:26:00: ESEGUITO, NESSUN MESSAGGIO
17/01/2024 14:37:57: ESEGUITO, NESSUN MESSAGGIO
17/01/2024 14:38:29: ESEGUITO, NESSUN MESSAGGIO
17/01/2024 15:07:26: ESEGUITO, NESSUN MESSAGGIO
17/01/2024 15:08:15: ESEGUITO, NESSUN MESSAGGIO
17/01/2024 15:08:16: ESEGUITO, NESSUN MESSAGGIO
18/01/2024 16:46:23: ESEGUITO, NESSUN MESSAGGIO
18/01/2024 16:46:34: ESEGUITO, NESSUN MESSAGGIO
19/01/2024 11:51:21: ESEGUITO, NESSUN MESSAGGIO
19/01/2024 11:51:30: ESEGUITO, NESSUN MESSAGGIO
22/01/2024 11:15:14: ESEGUITO, NESSUN MESSAGGIO
22/01/2024 11:15:29: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 16:16:31: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 16:17:52: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 16:18:08: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 16:18:12: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 16:40:51: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 16:41:06: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 16:41:44: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 17:07:39: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 17:07:43: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 17:10:51: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 17:11:01: ESEGUITO, NESSUN MESSAGGIO
23/01/2024 17:11:02: ESEGUITO, NESSUN MESSAGGIO
24/01/2024 08:57:23: ESEGUITO, NESSUN MESSAGGIO
24/01/2024 08:57:27: ESEGUITO, NESSUN MESSAGGIO
24/01/2024 09:00:02: ESEGUITO, NESSUN MESSAGGIO
24/01/2024 09:00:21: ESEGUITO, NESSUN MESSAGGIO
24/01/2024 11:30:15: ESEGUITO, NESSUN MESSAGGIO
24/01/2024 11:30:18: ESEGUITO, NESSUN MESSAGGIO
24/01/2024 12:27:49: ESEGUITO, NESSUN MESSAGGIO
24/01/2024 12:27:51: ESEGUITO, NESSUN MESSAGGIO
25/01/2024 16:36:28: ESEGUITO, NESSUN MESSAGGIO
25/01/2024 16:36:29: ESEGUITO, NESSUN MESSAGGIO
25/01/2024 17:28:07: ESEGUITO, NESSUN MESSAGGIO
25/01/2024 17:28:12: ESEGUITO, NESSUN MESSAGGIO
25/01/2024 17:29:20: ESEGUITO, NESSUN MESSAGGIO
25/01/2024 17:29:25: ESEGUITO, NESSUN MESSAGGIO
30/01/2024 09:39:00: ESEGUITO, NESSUN MESSAGGIO
30/01/2024 09:39:12: ESEGUITO, NESSUN MESSAGGIO
30/01/2024 09:39:20: ESEGUITO, NESSUN MESSAGGIO
30/01/2024 09:39:21: ESEGUITO, NESSUN MESSAGGIO
31/01/2024 14:31:34: ESEGUITO, NESSUN MESSAGGIO
31/01/2024 14:31:39: ESEGUITO, NESSUN MESSAGGIO
31/01/2024 14:40:03: ESEGUITO, NESSUN MESSAGGIO
31/01/2024 14:40:06: ESEGUITO, NESSUN MESSAGGIO
01/02/2024 09:47:19: ESEGUITO, NESSUN MESSAGGIO
01/02/2024 10:00:50: ESEGUITO, NESSUN MESSAGGIO
01/02/2024 10:01:30: ESEGUITO, NESSUN MESSAGGIO
01/02/2024 10:01:33: ESEGUITO, NESSUN MESSAGGIO
01/02/2024 10:18:46: ESEGUITO, NESSUN MESSAGGIO
01/02/2024 10:40:13: ESEGUITO, NESSUN MESSAGGIO
01/02/2024 10:46:27: ESEGUITO, NESSUN MESSAGGIO
01/02/2024 10:46:32: ESEGUITO, NESSUN MESSAGGIO
05/02/2024 15:24:41: ESEGUITO, NESSUN MESSAGGIO
05/02/2024 15:24:49: ESEGUITO, NESSUN MESSAGGIO
05/02/2024 15:25:12: ESEGUITO, NESSUN MESSAGGIO
05/02/2024 15:25:14: ESEGUITO, NESSUN MESSAGGIO
05/02/2024 15:54:49: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT01879020517A2024_a1dha.xml</i>.&nbsp;&nbsp;<a href='C:\Users\utente\Documents\IT01879020517A2024_a1dha.xml'><b>Apri</b></a> 
08/02/2024 09:42:43: ESEGUITO, NESSUN MESSAGGIO
08/02/2024 09:43:07: ESEGUITO, NESSUN MESSAGGIO
08/02/2024 10:14:01: ESEGUITO, NESSUN MESSAGGIO
08/02/2024 10:28:20: ESEGUITO, NESSUN MESSAGGIO
12/02/2024 16:54:25: ESEGUITO, NESSUN MESSAGGIO
12/02/2024 16:54:43: ESEGUITO, NESSUN MESSAGGIO
12/02/2024 16:54:46: ESEGUITO, NESSUN MESSAGGIO
12/02/2024 16:58:06: ESEGUITO, NESSUN MESSAGGIO
12/02/2024 17:00:11: ESEGUITO, NESSUN MESSAGGIO
12/02/2024 17:00:13: ESEGUITO, NESSUN MESSAGGIO
12/02/2024 18:01:42: ESEGUITO, NESSUN MESSAGGIO
12/02/2024 18:01:44: ESEGUITO, NESSUN MESSAGGIO
16/02/2024 09:38:37: ESEGUITO, NESSUN MESSAGGIO
16/02/2024 09:38:38: ESEGUITO, NESSUN MESSAGGIO
16/02/2024 09:38:44: ESEGUITO, NESSUN MESSAGGIO
16/02/2024 09:39:06: ESEGUITO, NESSUN MESSAGGIO
16/02/2024 09:39:26: ESEGUITO, NESSUN MESSAGGIO
20/02/2024 16:52:59: ESEGUITO, NESSUN MESSAGGIO
20/02/2024 16:53:08: ESEGUITO, NESSUN MESSAGGIO
21/02/2024 16:43:13: ESEGUITO, NESSUN MESSAGGIO
21/02/2024 17:04:48: ESEGUITO, NESSUN MESSAGGIO
21/02/2024 17:04:51: ESEGUITO, NESSUN MESSAGGIO
21/02/2024 17:05:01: ESEGUITO, NESSUN MESSAGGIO
21/02/2024 17:05:06: ESEGUITO, NESSUN MESSAGGIO
23/02/2024 16:07:38: ESEGUITO, NESSUN MESSAGGIO
23/02/2024 16:07:45: ESEGUITO, NESSUN MESSAGGIO
27/02/2024 15:58:45: ESEGUITO, NESSUN MESSAGGIO
27/02/2024 15:58:47: ESEGUITO, NESSUN MESSAGGIO
27/02/2024 15:58:56: ESEGUITO, NESSUN MESSAGGIO
27/02/2024 15:59:03: ESEGUITO, NESSUN MESSAGGIO
01/03/2024 09:20:46: ESEGUITO, NESSUN MESSAGGIO
01/03/2024 11:42:09: ESEGUITO, NESSUN MESSAGGIO
01/03/2024 11:42:11: ESEGUITO, NESSUN MESSAGGIO
01/03/2024 11:46:59: ESEGUITO, NESSUN MESSAGGIO
01/03/2024 11:47:02: ESEGUITO, NESSUN MESSAGGIO
04/03/2024 09:11:18: ESEGUITO, NESSUN MESSAGGIO
04/03/2024 09:11:21: ESEGUITO, NESSUN MESSAGGIO
04/03/2024 09:11:46: ESEGUITO, NESSUN MESSAGGIO
04/03/2024 09:12:00: ESEGUITO, NESSUN MESSAGGIO
04/03/2024 09:22:19: ESEGUITO, NESSUN MESSAGGIO
05/03/2024 09:01:28: ESEGUITO, NESSUN MESSAGGIO
11/03/2024 10:39:57: ESEGUITO, NESSUN MESSAGGIO
11/03/2024 10:40:21: ESEGUITO, NESSUN MESSAGGIO
12/03/2024 16:35:21: ESEGUITO, NESSUN MESSAGGIO
13/03/2024 15:35:52: ESEGUITO, NESSUN MESSAGGIO
19/03/2024 11:36:29: ESEGUITO, NESSUN MESSAGGIO
19/03/2024 16:52:38: ESEGUITO, NESSUN MESSAGGIO
19/03/2024 16:52:51: ESEGUITO, NESSUN MESSAGGIO
19/03/2024 16:52:55: ESEGUITO, NESSUN MESSAGGIO
20/03/2024 10:50:44: ESEGUITO, NESSUN MESSAGGIO
20/03/2024 10:55:55: ESEGUITO, NESSUN MESSAGGIO
20/03/2024 11:12:09: ESEGUITO, NESSUN MESSAGGIO
26/03/2024 18:30:58: ESEGUITO, NESSUN MESSAGGIO
26/03/2024 18:31:19: ESEGUITO, NESSUN MESSAGGIO
26/03/2024 19:12:40: ESEGUITO, NESSUN MESSAGGIO
26/03/2024 19:12:48: ESEGUITO, NESSUN MESSAGGIO
27/03/2024 17:47:37: ESEGUITO, NESSUN MESSAGGIO
01/04/2024 11:39:10: ESEGUITO, NESSUN MESSAGGIO
01/04/2024 11:39:26: ESEGUITO, NESSUN MESSAGGIO
03/04/2024 09:47:16: ESEGUITO, NESSUN MESSAGGIO
03/04/2024 09:47:36: ESEGUITO, NESSUN MESSAGGIO
03/04/2024 09:47:41: ESEGUITO, NESSUN MESSAGGIO
04/04/2024 15:21:00: ESEGUITO, NESSUN MESSAGGIO
08/04/2024 11:16:05: ESEGUITO, NESSUN MESSAGGIO
08/04/2024 11:16:14: ESEGUITO, NESSUN MESSAGGIO
08/04/2024 11:16:23: ESEGUITO, NESSUN MESSAGGIO
08/04/2024 11:16:26: ESEGUITO, NESSUN MESSAGGIO
11/04/2024 15:38:32: ESEGUITO, NESSUN MESSAGGIO
11/04/2024 16:23:02: ESEGUITO, NESSUN MESSAGGIO
11/04/2024 16:23:14: ESEGUITO, NESSUN MESSAGGIO
11/04/2024 16:23:20: ESEGUITO, NESSUN MESSAGGIO
11/04/2024 16:23:23: ESEGUITO, NESSUN MESSAGGIO
16/04/2024 17:57:28: ESEGUITO, NESSUN MESSAGGIO
16/04/2024 17:57:41: ESEGUITO, NESSUN MESSAGGIO
16/04/2024 17:57:54: ESEGUITO, NESSUN MESSAGGIO
22/04/2024 18:42:45: ESEGUITO, NESSUN MESSAGGIO
22/04/2024 18:43:01: ESEGUITO, NESSUN MESSAGGIO
26/04/2024 17:45:47: ESEGUITO, NESSUN MESSAGGIO
26/04/2024 17:45:55: ESEGUITO, NESSUN MESSAGGIO
29/04/2024 09:38:33: ESEGUITO, NESSUN MESSAGGIO
02/05/2024 10:14:04: ESEGUITO, NESSUN MESSAGGIO
02/05/2024 10:14:21: ESEGUITO, NESSUN MESSAGGIO
07/05/2024 15:59:24: ESEGUITO, NESSUN MESSAGGIO
07/05/2024 17:22:11: ESEGUITO, NESSUN MESSAGGIO
07/05/2024 17:48:06: ESEGUITO, NESSUN MESSAGGIO
07/05/2024 17:48:11: ESEGUITO, NESSUN MESSAGGIO
07/05/2024 17:48:54: ESEGUITO, NESSUN MESSAGGIO
07/05/2024 17:49:16: ESEGUITO, NESSUN MESSAGGIO
13/05/2024 11:09:43: ESEGUITO, NESSUN MESSAGGIO
13/05/2024 11:10:05: ESEGUITO, NESSUN MESSAGGIO
13/05/2024 11:10:40: ESEGUITO, NESSUN MESSAGGIO
15/05/2024 10:44:45: Connessione sottostante chiusa: Una connessione che doveva restare attiva è stata chiusa dal server in modo imprevisto..
15/05/2024 10:44:55: ESEGUITO, NESSUN MESSAGGIO
23/05/2024 14:15:48: ESEGUITO, NESSUN MESSAGGIO
23/05/2024 15:09:09: ESEGUITO, NESSUN MESSAGGIO
23/05/2024 22:27:21: ESEGUITO, NESSUN MESSAGGIO
03/06/2024 17:19:24: ESEGUITO, NESSUN MESSAGGIO
03/06/2024 17:20:34: ESEGUITO, NESSUN MESSAGGIO
03/06/2024 18:54:36: ESEGUITO, NESSUN MESSAGGIO
05/06/2024 18:42:01: ESEGUITO, NESSUN MESSAGGIO
05/06/2024 18:53:28: ESEGUITO, NESSUN MESSAGGIO
06/06/2024 09:48:34: ESEGUITO, NESSUN MESSAGGIO
06/06/2024 09:58:42: ESEGUITO, NESSUN MESSAGGIO
24/06/2024 09:31:14: ESEGUITO, NESSUN MESSAGGIO
24/06/2024 09:32:23: ESEGUITO, NESSUN MESSAGGIO
24/06/2024 11:46:03: ESEGUITO, NESSUN MESSAGGIO
24/06/2024 11:50:41: ESEGUITO, NESSUN MESSAGGIO
24/06/2024 12:02:54: ESEGUITO, NESSUN MESSAGGIO
24/06/2024 12:16:14: ESEGUITO, NESSUN MESSAGGIO
24/06/2024 15:05:30: ESEGUITO, NESSUN MESSAGGIO
24/06/2024 15:11:49: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT0164179070220245_05hP5.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Administrator\Documents\IT0164179070220245_05hP5.xml.pdf'><b>Apri</b></a> 
24/06/2024 15:12:22: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT0164179070220245_05hP5_Doc_504_01_20240523.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Administrator\Documents\IT0164179070220245_05hP5_Doc_504_01_20240523.pdf'><b>Apri</b></a> 
24/06/2024 15:22:09: ESEGUITO, NESSUN MESSAGGIO
27/06/2024 13:43:05: Download eseguito, il file si trova nella cartella <i>Documenti</i> con nome <i>IT00141030205_00Loz.xml.pdf</i>.&nbsp;&nbsp;<a href='C:\Users\Administrator\Documents\IT00141030205_00Loz.xml.pdf'><b>Apri</b></a> 
29/06/2024 12:17:17: ESEGUITO, NESSUN MESSAGGIO
29/06/2024 12:20:05: ESEGUITO, NESSUN MESSAGGIO
29/06/2024 12:20:23: ESEGUITO, NESSUN MESSAGGIO
29/06/2024 12:51:01: ESEGUITO, NESSUN MESSAGGIO
29/06/2024 12:52:17: ESEGUITO, NESSUN MESSAGGIO
